OBJECTID;PAR_ID;PAR_NUM;Shape_Length;Shape_Area;geometry;OWNER;Freguesia;Municipio;Ilha
11;17607847.0;2,99E+12;163.02830777164647;907.0567667929143;MULTIPOLYGON (((298598.2429999998 3621571.0775000006, 298599.9718000004 3621568.5, 298600.1853 3621568.0934999995, 298600.23429999966 3621568.109099999, 298600.51999999955 3621568.1999999993, 298601.1412000004 3621567.0265999995, 298601.6326000001 3621566.0985000003, 298605.9199999999 3621558, 298608.9199999999 3621539.4000000004, 298608.6607999997 3621535.058700001, 298608.1200000001 3621526, 298607.78809999954 3621514.2162999995, 298607.71999999974 3621511.8000000007, 298608.5378999999 3621501.9848999996, 298604.7098000003 3621500.5493, 298604.7039999999 3621500.3751, 298604.7028000001 3621500.3391999993, 298604.0982999997 3621500.2248, 298599.80090000015 3621499.411800001, 298599.4483000003 3621501.7940999996, 298595.8021 3621526.8505000006, 298593.9930999996 3621536.630000001, 298591.3967000004 3621550.6664000005, 298591.37229999993 3621550.7983999997, 298591.4299999997 3621550.9189999998, 298591.4567999998 3621550.9749, 298591.4106999999 3621550.9667000007, 298590.4199999999 3621554.880000001, 298586.1699999999 3621561.33, 298584.7814999996 3621563.036699999, 298598.2429999998 3621571.0775000006)));26;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
12;19330684.0;2,99E+12;125.29894320568577;580.4977129100115;MULTIPOLYGON (((298414.8261000002 3622146.569599999, 298421.49540000036 3622150.2552000005, 298425.8953 3622145.0551999994, 298434.4952999996 3622149.2552000005, 298444.09520000033 3622132.2553000003, 298456.49509999994 3622135.2552000005, 298458.6377999997 3622130.2555, 298459.5263 3622128.1822999995, 298459.5151000004 3622128.1786, 298450.67650000006 3622125.2324, 298450.6200000001 3622125.2200000007, 298447.6200000001 3622125.119999999, 298448.44990000036 3622124.0825999994, 298447.49509999994 3622123.8553, 298435.4951999998 3622120.8554, 298413.8953999998 3622146.0551999994, 298414.8261000002 3622146.569599999)));84;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
13;20433555.0;3,00E+12;70.76005383656569;166.39322146786995;MULTIPOLYGON (((299111.8013000004 3622095.285700001, 299111.6500000004 3622095.41, 299112.2030999996 3622096.055299999, 299112.07919999957 3622096.1582999993, 299116.6500000004 3622101.1099999994, 299121.8361999998 3622096.0023999996, 299121.8499999996 3622096.01, 299123.02550000045 3622095.1016000006, 299123.98610000033 3622094.3594000004, 299122.4500000002 3622091.91, 299127.6500000004 3622087.710000001, 299130.6341000004 3622091.092, 299134.95050000027 3622087.3641999997, 299134.72559999954 3622087.1548999995, 299134.9500000002 3622087.1099999994, 299130.3646999998 3622080.5186, 299130.1500000004 3622080.210000001, 299129.9737999998 3622080.354800001, 299129.75 3622080.3100000005, 299124.4500000002 3622084.1099999994, 299124.0871000001 3622084.4246999994, 299111.6500000004 3622095.210000001, 299111.8013000004 3622095.285700001)));87;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
14;20433561.0;3,00E+12;45.34495668105491;117.60322003324094;MULTIPOLYGON (((299098.81740000006 3622080.8025, 299106.3964999998 3622075.0480000004, 299106.5499999998 3622075.01, 299109.75 3622072.8100000005, 299106.3499999996 3622067.41, 299097.3499999996 3622070.6099999994, 299092.25 3622073.01, 299092.9001000002 3622073.7192, 299092.9500000002 3622073.710000001, 299098.81740000006 3622080.8025)));40;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
15;20746817.0;2,98E+12;45.99013260047487;77.94686062009467;MULTIPOLYGON (((297586.4343999997 3621564.392000001, 297586.9848999996 3621561.339299999, 297587.1743999999 3621560.2885999996, 297587.3499999996 3621560.26, 297588.1074000001 3621557.3145000003, 297578.3499999996 3621551.460000001, 297573.82380000036 3621549.7534, 297572.95249999966 3621549.424900001, 297573.9500000002 3621552.5600000005, 297581.1500000004 3621557.960000001, 297581.5499999998 3621560.960000001, 297581.4797 3621560.9661, 297583.14159999974 3621562.4713000003, 297583.1500000004 3621562.460000001, 297583.6841000002 3621562.7742, 297585.8513000002 3621564.0490000006, 297586.4343999997 3621564.392000001)));20;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
16;20746818.0;2,98E+12;77.38560252506595;347.829668448073;MULTIPOLYGON (((297586.4343999997 3621564.392000001, 297588.03670000006 3621565.3345999997, 297588.06269999966 3621565.3160999995, 297588.1034000004 3621565.3737000003, 297588.25600000005 3621565.59, 297591.9480999997 3621570.8203999996, 297595.10170000046 3621575.780200001, 297597.71719999984 3621580.1851000004, 297607.1448999997 3621579.3827, 297607.30370000005 3621579.3692000005, 297608.25 3621578.960000001, 297609.25 3621561.26, 297605.25 3621560.5600000005, 297605.1676000003 3621560.6731000002, 297605.1500000004 3621560.5600000005, 297602.75 3621560.3599999994, 297598.0499999998 3621560.66, 297594.9500000002 3621559.5600000005, 297588.37200000044 3621557.5667000003, 297588.3499999996 3621557.460000001, 297588.1074000001 3621557.3145000003, 297587.3499999996 3621560.26, 297587.1743999999 3621560.2885999996, 297586.9848999996 3621561.339299999, 297586.4343999997 3621564.392000001)));31;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
17;21848168.0;3,00E+12;119.35969998072251;857.2336360622152;MULTIPOLYGON (((298677.8903000001 3621660.7751, 298678.0086000003 3621660.859099999, 298699.51779999956 3621644.6021999996, 298699.5164999999 3621644.6008, 298699.51999999955 3621644.5999999996, 298703.70999999996 3621641.5199999996, 298704.4024 3621640.9836, 298704.4199999999 3621640.9700000007, 298704.4223999996 3621640.9681, 298697.83330000006 3621635.6681999993, 298692.4625000004 3621631.348099999, 298681.0378999999 3621622.2084999997, 298680.45270000026 3621622.9221, 298679.98000000045 3621622.51, 298677.55900000036 3621625.8342000004, 298673.5418999996 3621631.3499, 298660.7496999996 3621648.9142000005, 298660.6799999997 3621649.01, 298661.5999999996 3621649.7300000004, 298675.9550999999 3621660.964400001, 298676.78000000026 3621661.6099999994, 298677.8903000001 3621660.7751)));85;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
18;7351920.0;3,00E+12;262.0587443127587;2499.5450668916333;MULTIPOLYGON (((299019.13320000004 3621205.5095000006, 299035.93939999957 3621234.9200999998, 299035.0574000003 3621235.1161, 299035.2494000001 3621235.370100001, 299035.61870000046 3621235.2469999995, 299048.44159999955 3621267.9911, 299070.2391999997 3621255.7299000006, 299070.4819 3621255.9476999994, 299070.34920000006 3621255.469900001, 299088.1826999998 3621239.6828000005, 299088.13910000026 3621239.5299999993, 299090.05900000036 3621237.6099999994, 299095.5789999999 3621236.17, 299086.69909999985 3621235.1099999994, 299081.2991000004 3621237.1099999994, 299076.9950000001 3621214.7042999994, 299076.1791000003 3621214.780200001, 299057.57919999957 3621222.280200001, 299053.97919999994 3621219.280200001, 299052.47919999994 3621209.680299999, 299054.4601999996 3621194.964400001, 299045.4792999998 3621197.430400001, 299044.7056999998 3621195.1788, 299042.87930000015 3621196.180400001, 299032.9792999998 3621196.7804000005, 299016.7795000002 3621201.8804, 299016.7189999996 3621203.7536999993, 299019.13320000004 3621205.5095000006)));44;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
19;7349461.0;2,99E+12;114.51277830647635;662.0254951549899;MULTIPOLYGON (((297793.6309000002 3622329.2584000006, 297793.53000000026 3622329.3499999996, 297793.1299999999 3622330.5, 297827.9299999997 3622348.5999999996, 297827.9252000004 3622348.5899, 297827.9315999998 3622348.5933999997, 297829.9299999997 3622338.6500000004, 297831.05709999986 3622332.5244999994, 297797.0998999998 3622311.8653999995, 297797.0756999999 3622311.937999999, 297796.9790000003 3622312.2281, 297797.01999999955 3622312.24, 297794.6200000001 3622325.34, 297793.6392000001 3622329.2631, 297793.6309000002 3622329.2584000006)));2;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
20;7351800.0;3,00E+12;268.0625993007366;2989.849988023656;MULTIPOLYGON (((298813.0312999999 3621277.375600001, 298804.29000000004 3621279.74, 298804.2829 3621279.7772000004, 298781.2611999996 3621285.680299999, 298781.2430999996 3621285.649, 298781.0999999996 3621285.8100000005, 298781.6327999998 3621288.5503000002, 298781.5730999997 3621288.5654000007, 298781.51960000023 3621288.5788000003, 298785.1500000004 3621299.039999999, 298786.28560000006 3621306.8981, 298794.4000000004 3621305.09, 298799.26329999976 3621304.2058000006, 298799.3119999999 3621304.4372000005, 298800.2999999998 3621309.130000001, 298803.69409999996 3621308.7688999996, 298804.18149999995 3621310.407400001, 298804.11110000033 3621310.4601000007, 298804.87239999976 3621313.251599999, 298805.29849999957 3621314.8138999995, 298805.3298000004 3621314.803099999, 298805.5404000003 3621315.6339, 298821.7000000002 3621310.7300000004, 298837.74810000043 3621303.7567, 298837.7472000001 3621303.6294, 298838.4661999997 3621303.3816, 298851.5 3621293.3100000005, 298866.7000000002 3621284.3100000005, 298883.5832000002 3621277.854699999, 298879.8624999998 3621255.0233999994, 298879.9000000004 3621254.710000001, 298878.65419999976 3621252.1227, 298870.54760000017 3621255.3540000003, 298835.8607999999 3621269.180299999, 298813.0312999999 3621277.375600001)));65;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
21;7351866.0;2,99E+12;1671.7240952407578;26315.155021555027;MULTIPOLYGON (((298519.4040999999 3621309.3851999994, 298519.6562000001 3621309.2444, 298522.2429999998 3621307.8006999996, 298530.51379999984 3621304.3114, 298535.04289999977 3621302.400699999, 298553.44269999955 3621292.0007000007, 298557.5242999997 3621289.9032000005, 298552.8200000003 3621281.3499999996, 298555.76999999955 3621279.6400000006, 298569.11000000034 3621272.66, 298568.0499999998 3621268.8000000007, 298579.7000000002 3621265.0999999996, 298580.25 3621266.9000000004, 298583.6327999998 3621265.6821999997, 298586.23199999984 3621264.7465000004, 298586.92370000016 3621264.2378000002, 298586.43450000044 3621264.4288999997, 298583.08249999955 3621248.6308999993, 298583.22250000015 3621248.1809, 298590.1864 3621242.9882999994, 298586.84109999985 3621239.7584000006, 298595.2999999998 3621232.4399999995, 298593.78000000026 3621229.7699999996, 298593.7778000003 3621229.7710999995, 298593.77689999994 3621229.7720999997, 298589.98230000027 3621225.398600001, 298575.60250000004 3621236.471000001, 298567.40249999985 3621227.871099999, 298544.6026999997 3621245.671, 298512.40299999993 3621269.0709000006, 298489.80319999997 3621284.8708999995, 298485.80319999997 3621288.8708999995, 298491.00320000015 3621295.4707999993, 298484.00320000015 3621301.8707999997, 298478.40330000035 3621299.4707999993, 298479.80319999997 3621293.6708000004, 298483.00320000015 3621287.8708999995, 298490.40309999976 3621281.470899999, 298505.6030000001 3621269.2709999997, 298530.8027999997 3621251.2709999997, 298564.8025000002 3621225.0711000003, 298583.53280000016 3621210.0867999997, 298577.0800000001 3621204.1799999997, 298572.4299999997 3621200.33, 298570.5469000004 3621196.3150999993, 298568.09499999974 3621193.7858000007, 298548.75 3621215.1999999993, 298548.65809999965 3621215.2115, 298539 3621226.1999999993, 298535.5499999998 3621223.4000000004, 298538.5499999998 3621219.0500000007, 298535.9500000002 3621217.3499999996, 298540.20299999975 3621211.2672000006, 298536.40270000044 3621208.4713000003, 298543.2126000002 3621200.4813, 298543.2131000003 3621200.480900001, 298543.20999999996 3621200.4800000004, 298540.28000000026 3621198.8100000005, 298552.90189999994 3621189.6330999993, 298561.27249999996 3621180.2613999993, 298561.39470000006 3621180.3662, 298562.41000000015 3621179.3900000006, 298561.2592000002 3621177.8103, 298565.5800000001 3621176.8100000005, 298570.85080000013 3621175.7982, 298572.8552000001 3621183.0869999994, 298573.5599999996 3621182.84, 298579.0599999996 3621182.59, 298579.2284000004 3621182.6082000006, 298578.8707999997 3621174.8303999994, 298585.98000000045 3621175.41, 298585.88960000034 3621182.6415, 298592.41000000015 3621183.49, 298602.11000000034 3621188.6899999995, 298611.45999999996 3621196.84, 298610.6723999996 3621198.7652000003, 298610.6821999997 3621198.7711999994, 298610.6629999997 3621198.7882000003, 298610.4263000004 3621198.9979, 298605.6021999996 3621203.2711999994, 298594.6023000004 3621196.8713000007, 298589.6023000004 3621195.6712999996, 298587.0022999998 3621195.6712999996, 298585.7280000001 3621196.2903000005, 298586.70999999996 3621198.49, 298585.29849999957 3621200.6171000004, 298594.0700000003 3621207.42, 298600.1699999999 3621212.5199999996, 298596.94689999986 3621216.2158000004, 298601.7977 3621221.0665000007, 298601.9247000003 3621220.9287, 298606.2019999996 3621225.442, 298611.70550000016 3621231.2490999997, 298615.7000000002 3621233.4000000004, 298616.4000000004 3621232, 298617.8499999996 3621232, 298620.4000000004 3621227, 298622.2999999998 3621227.5500000007, 298622.53160000034 3621227.8510999996, 298626.25 3621229.9000000004, 298627.3499999996 3621229, 298631.25 3621231.0500000007, 298636.99120000005 3621225.150800001, 298656.7000000002 3621204.9000000004, 298681 3621180.25, 298687.5553000001 3621173.499, 298689.76159999985 3621171.531199999, 298694.56149999984 3621165.1313000005, 298694.66199999955 3621164.6959000006, 298695.1500000004 3621164.0500000007, 298695.19319999963 3621163.911800001, 298696.1500000004 3621160.8499999996, 298694.6500000004 3621155.9499999993, 298685.9000000004 3621140.6999999993, 298684.9643000001 3621141.2529000007, 298684.94159999955 3621141.2115, 298680.64829999954 3621144.236300001, 298670.22020000033 3621151.5834, 298655.9314000001 3621132.9287, 298655.89169999957 3621132.9316000007, 298647.0917999996 3621116.5317, 298654.3013000004 3621114.1284999996, 298654.22169999965 3621113.991699999, 298671.3515999997 3621107.911699999, 298671.3479000004 3621107.9023, 298675.9187000003 3621106.6380000003, 298675.9500000002 3621106.5999999996, 298673.4500000002 3621103.8000000007, 298672.28050000034 3621102.3966000006, 298672.2916000001 3621102.331700001, 298672.176 3621102.2711999994, 298671.4500000002 3621101.4000000004, 298668.75 3621099.9499999993, 298666.9500000002 3621099, 298663.5499999998 3621098.8000000007, 298660.18090000004 3621099.3407000005, 298660.0915999999 3621099.3318000007, 298660.0020000003 3621099.3694, 298659.5 3621099.4499999993, 298659.4451000001 3621099.6032999996, 298650.09169999976 3621103.5318, 298641.2917999998 3621108.5318, 298630.89190000016 3621114.331700001, 298621.4918999998 3621122.331700001, 298621.48089999985 3621122.4746000003, 298620.19460000005 3621123.0867999997, 298619.02190000005 3621124.5461999997, 298619.1200000001 3621124.49, 298616.71999999974 3621128.039999999, 298613.71999999974 3621131.9399999995, 298611.9199999999 3621133.789999999, 298610.76999999955 3621134.99, 298610.6925999997 3621134.9115999993, 298609.6721000001 3621136.1816000007, 298596.6721000001 3621142.1816000007, 298589.17420000024 3621149.9214999992, 298589.5521999998 3621150.2216, 298579.9622999998 3621158.921599999, 298579.84559999965 3621158.9191999994, 298576.3598999996 3621161.4541999996, 298576.26999999955 3621161.8100000005, 298569.8700000001 3621166.91, 298564.0700000003 3621172.01, 298562.96999999974 3621171.8100000005, 298561.8689000001 3621171.1324000005, 298561.6723999996 3621171.181500001, 298552.92250000034 3621161.1816000007, 298551.42250000034 3621156.9316000007, 298551.66110000014 3621156.8340000007, 298551.1124999998 3621156.8115999997, 298536.71279999986 3621135.212099999, 298463.4930999996 3621186.841600001, 298475.4930999996 3621187.841600001, 298476.79009999987 3621194.8671000004, 298478.84059999976 3621195.4624000005, 298478.88609999977 3621195.6761000007, 298479.7829999998 3621199.8815, 298482.6003999999 3621206.066299999, 298482.5499999998 3621206.789999999, 298482.25 3621209.09, 298480.0499999998 3621211.09, 298477.9896 3621212.537900001, 298477.9899000004 3621212.5383, 298477.9900000002 3621212.539999999, 298475.4000000004 3621214.58, 298466.15220000036 3621206.996099999, 298439.8934000004 3621230.781300001, 298439.52410000004 3621231.0647, 298451.5401999997 3621246.084899999, 298451.3925999999 3621246.2353000008, 298464.09329999983 3621257.5811, 298453.5725999996 3621269.9475999996, 298469.27190000005 3621284.2731, 298467.91810000036 3621286.3434999995, 298468.4933000002 3621286.9309, 298459.8934000004 3621301.730799999, 298446.89350000024 3621321.3307000007, 298439.29360000044 3621329.7306999993, 298429.0937000001 3621340.330600001, 298436.28890000004 3621346.2684000004, 298448.9927000003 3621356.7521, 298449.0999999996 3621356.9499999993, 298469.87650000025 3621375.5132, 298477.9266999997 3621382.7059000004, 298478.2000000002 3621382.9499999993, 298479.3865 3621377.7817, 298482.8333999999 3621362.7678999994, 298484.01499999966 3621357.6209999993, 298486.3147 3621347.6038000006, 298485.0865000002 3621347.0495999996, 298490.6341000004 3621333.1351999994, 298494.9868000001 3621323.5336000007, 298495.1900000004 3621323.3499999996, 298501.4900000002 3621314.0500000007, 298501.91110000014 3621314.4409999996, 298508.4900000002 3621320.5500000007, 298515.4900000002 3621313.0500000007, 298515.70999999996 3621312.26, 298515.1320000002 3621311.7696, 298509.5226999996 3621307.0100999996, 298509.1897999998 3621306.5525, 298509.18939999957 3621306.5518999994, 298509.1900000004 3621306.5500000007, 298515.03000000026 3621302.9000000004, 298519.4040999999 3621309.3851999994)));49;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
22;7351946.0;2,99E+12;252.2521367466401;1453.1034965934466;MULTIPOLYGON (((298486.3827999998 3621152.431399999, 298481.21999999974 3621149.8499999996, 298463.7893000003 3621158.1864, 298464.70529999956 3621161.7513999995, 298467.6644000001 3621165.7399000004, 298467.8920999998 3621166.0468000006, 298453.8696999997 3621175.7068000007, 298453.63889999967 3621175.3815, 298453.6200000001 3621175.6500000004, 298449.48560000025 3621178.5683999993, 298449.7707000002 3621179.0107000005, 298446.63850000035 3621181.551999999, 298442.8200000003 3621184.6500000004, 298447.4199999999 3621189.4499999993, 298450.2527999999 3621187.2091000006, 298460.8200000003 3621178.8499999996, 298471.77520000003 3621171.2808999997, 298482.8200000003 3621163.6500000004, 298507.01999999955 3621147.6500000004, 298527.21999999974 3621133.8499999996, 298525.72860000003 3621131.3642999995, 298526.13999999966 3621131.1083000004, 298497.89279999956 3621120.062000001, 298478.8929000003 3621132.061899999, 298490.29289999977 3621149.661800001, 298486.3827999998 3621152.431399999)));7;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
23;7352147.0;3,00E+12;193.4655465689314;2054.7044897997757;MULTIPOLYGON (((299016.12679999974 3620762.5994000006, 299016.6200000001 3620761.6899999995, 299027.4199999999 3620739.8900000006, 299027.7516000001 3620739.9970999993, 299028.1783999996 3620731.9935, 299028.7784000002 3620717.7936000004, 299031.70270000026 3620706.440199999, 299031.26460000034 3620706.3025, 299035.3783 3620696.7037000004, 299014.3783999998 3620686.2039, 299006.89800000004 3620696.3773, 299006.8085000003 3620696.333799999, 299005.8085000003 3620698.1338, 298998.8086000001 3620714.5337000005, 298995.40859999973 3620730.1336000003, 298995.7955 3620730.2796, 298994.80869999994 3620733.7336, 298993.2087000003 3620739.533500001, 298990.2087000003 3620751.7335, 298990.48869999964 3620751.840500001, 298995.42250000034 3620753.7269, 298995.3847000003 3620753.9011000004, 299016.12679999974 3620762.5994000006)));9;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
24;7352189.0;3,00E+12;94.76382342800939;549.3843683621798;MULTIPOLYGON (((298829.55200000014 3620729.0193000007, 298812.64719999954 3620738.7663000003, 298825.6699000001 3620762.9836999997, 298830.67260000017 3620760.7325, 298830.6880999999 3620760.7576, 298830.8953 3620760.632200001, 298831.2697999999 3620760.4637, 298831.2718000002 3620760.4045, 298835.9781999998 3620757.5573999994, 298843.0482999999 3620753.2804000005, 298829.55200000014 3620729.0193000007)));49;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
